Id,ParentId,Date,Time,Score
3747357,3741304,2010-09-19,20:32:03,0
10152309,10148701,2012-04-14,08:53:43,5
10152419,10148701,2012-04-14,09:14:16,1
10683767,10682971,2012-05-21,10:43:05,0
12463812,12455731,2012-09-17,16:50:35,0
12989818,12985357,2012-10-20,15:18:56,0
12993867,12985357,2012-10-21,00:25:30,0
13211874,13211809,2012-11-03,17:53:34,2
15284235,15283487,2013-03-07,23:54:52,0
15300263,15283487,2013-03-08,17:54:43,2
18363359,18363158,2013-08-21,16:53:28,13
18893526,18890376,2013-09-19,11:34:58,12
18918282,18916697,2013-09-20,13:40:46,2
20484397,20484038,2013-12-10,01:33:30,1
20487741,20484038,2013-12-10,06:34:21,0
21503539,21503432,2014-02-01,20:54:40,6
22876928,22876888,2014-04-05,05:22:03,1
24158065,24157842,2014-06-11,08:26:34,0
25073901,25073685,2014-08-01,06:10:52,0
25774150,25770587,2014-09-10,20:05:52,1
26839308,26399257,2014-11-10,08:08:25,1
26577369,26572557,2014-10-26,20:09:27,0
26578243,26572557,2014-10-26,21:36:57,0
29888703,29888427,2015-04-27,06:31:09,1
30118216,30117268,2015-05-08,07:29:27,0
30487387,30486212,2015-05-27,15:51:44,0
31336724,30486212,2015-07-10,09:05:18,0
30929734,30929301,2015-06-19,04:06:44,2
32148298,32146883,2015-08-21,19:53:05,1
32914227,32914174,2015-10-02,19:10:24,3
33274881,33274684,2015-10-22,06:45:50,0
33274882,33274684,2015-10-22,06:46:00,1
35296361,35295936,2016-02-09,15:53:09,2
35296385,35295936,2016-02-09,15:54:14,1
35570888,35570058,2016-02-23,07:03:52,0
37089089,37089056,2016-05-07,13:21:49,0
39570027,39249293,2016-09-19,09:44:40,0
